title,price(tk),special_price(tk),emi,reviews,product_id,ram,storage,generation,graphics_memory,processor_type,display_size(inch)
Microsoft Surface Laptop Studio Intel Core i7 11370H 14.4 Inch Pixelsense Flow Multi Touch Display Platinum Surface Laptop #AIC-00001,"318,990","296,000","Monthly EMI Tk 26,583", 14 reviews ,33.03.191.329,32GB,1TB SSD,11th (Intel),4GB,Core i7,14.4
Apple MacBook Pro (Late 2021) Apple M1 Pro Chip Silver Laptop #Z15J0022W,"314,650","292,000","Monthly EMI Tk 26,221", 1 reviews ,33.03.005.268,32GB,1TB SSD,Not Applicable,Shared,Apple M1,14.2
Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 16.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z14V0015W,"301,630","279,000","Monthly EMI Tk 25,136", 5 reviews ,33.03.005.270,16GB,1TB SSD,Not Applicable,Shared,Apple M1,16.2
Apple MacBook Pro (Late 2021) Apple M1 Pro 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G001VR,"297,290","275,000","Monthly EMI Tk 24,774", 1 reviews ,33.03.005.252,16GB,1TB SSD,Not Applicable,Shared,Apple M1,14.2
Asus ProArt StudioBook 16 H5600QM AMD Ryzen 7 5800H 16 Inch WQUXGA OLED Display Star Black Laptop #L2253W-H5600QM,"296,210","275,000","Monthly EMI Tk 24,684",,33.03.006.1609,16GB,1TB SSD,Not Applicable,6GB,Ryzen 7,16
Asus ROG Strix G15 G513RM AMD Ryzen 7 6800H 15.6 Inch FHD Display Eclipse Gray Gaming Laptop #HF134W-G513RM,"233,280","218,000","Monthly EMI Tk 19,440", 1 reviews ,33.02.006.1507,16GB,512GB SSD,Not Applicable,6GB,Ryzen 7,15.6
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Silver Laptop #Z16T0006K,"234,360","217,000","Monthly EMI Tk 19,530",,33.03.005.279,16GB,256GB,Not Applicable,Shared,Apple M2,13.3
Acer Nitro 5 AN515-58-74EF Intel Core i7 12700H 15.6 Inch QHD Display Obsidian Black Gaming Laptop #NH.QHYSI.001,"232,190","218,000","Monthly EMI Tk 19,349",,33.02.002.971,16GB,1TB SSD,12th (Intel),6GB,Core i7,15.6
"Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 1TB SSD 14.2 Inch Liquid Retina XDR Display Silver Laptop #MKGT3LL/A, MKGT3ZP/A, MKGT3PA/A","308,140","285,000","Monthly EMI Tk 25,678", 1 reviews ,33.03.005.228,16GB,1TB SSD,Not Applicable,Shared,Apple M1,14.2
Acer Predator Helios 300 PH315 53 70PF Intel Core i7 10870H 15.6 Inch FHD Display Abyssal Black Gaming Laptop,"233,280","216,000","Monthly EMI Tk 19,440", 1 reviews ,33.02.002.916,16GB,1TB SSD,10th (Intel),8GB,Core i7,15.6
Apple MacBook Pro (2022) Apple M2 Chip 13.3 Inch Retina Display Space Gray Laptop #Z16S4LL/A (CTO),"234,900","217,000","Monthly EMI Tk 19,575",,33.03.005.278,16GB,512GB SSD,Not Applicable,Shared,Apple M2,13.3
"Microsoft Surface Pro 7+ Wi-Fi Intel Core i7 1165G7 12.3 Inch PixelSense MultiTouch Display Platinum 2-in-1 Detachable Laptop #1ND-00001, 1YK-00001","188,790","175,000","Monthly EMI Tk 15,733", 2 reviews ,33.03.191.237,16GB,512GB SSD,11th (Intel),Shared,Core i7,12.3
Acer Predator Helios 300 PH315 53 703U Intel Core i7 10870H 15.6 Inch FHD Display Abyssal Black Gaming Laptop,"188,790","175,000","Monthly EMI Tk 15,733", 2 reviews ,33.02.002.914,16GB,1TB HDD+256GB SSD,10th (Intel),6GB,Core i7,15.6
Lenovo Yoga Slim 7i Carbon 13ITL5 Intel Core i7 1165G7 13.3 Inch QHD WQXGA IPS Display Moon White Laptop #82EV008KIN-3Y,"190,960","177,000","Monthly EMI Tk 15,913",,33.03.200.1038,16GB,1TB SSD,11th (Intel),Shared,Core i7,13.3
Lenovo Yoga Slim 7i Carbon 13ITL5 Intel Core i7 1165G7 1TB SSD 13.3 Inch QHD IPS Display Moon White Laptop #82EV00AFIN-3Y,"190,960","177,000","Monthly EMI Tk 15,913",,33.03.200.1042,16GB,1TB SSD,11th (Intel),Shared,Core i7,13.3
Apple MacBook Air (2022) Apple M2 Chip 10-Core GPU 13.6 Inch Liquid Retina Display Midnight MacBook #MLY43LL/A / MLY43ZP/A,"187,710","174,000","Monthly EMI Tk 15,643", 1 reviews ,33.03.005.246,8GB,512GB,Not Applicable,Shared,Apple M2,13.6
MSI Delta 15 A5EFK-085BD Ryzen 7 5800H 15.6 Inch FHD Display Black Gray Laptop,"189,770","174,900","Monthly EMI Tk 15,814", 1 reviews ,33.02.033.1201,16GB,512GB SSD,Not Applicable,10GB,Ryzen 7,15.6
Apple MacBook Air (2022) Apple M2 Chip 512GB SSD 13.6 Inch Liquid Retina Display Space Gray MacBook #MLXX3LL/A / MLXX3ZP/A,"187,710","174,000","Monthly EMI Tk 15,643", 1 reviews ,33.03.005.243,8GB,512GB SSD,Not Applicable,Shared,Apple M2,13.6
Microsoft Surface Laptop 4 Intel Core i7 1185G7 512GB SSD 13.5 Inch Pixelsense Multi Touch Display Matte Black Metal Surface Laptop #5EB-00077,"187,710","174,000","Monthly EMI Tk 15,643", 1 reviews ,33.03.191.312,16GB,512GB SSD,11th (Intel),Shared,Core i7,13.5
Microsoft Surface Laptop 4 Intel Core i7 1185G7 15 Inch Pixelsense Multi Touch Display Platinum Metal Surface Laptop #5IM-00057,"187,710","174,000","Monthly EMI Tk 15,643", 1 reviews ,33.03.191.310,16GB,512GB SSD,11th (Intel),Shared,Core i7,15
Microsoft Surface Laptop 4 Intel Core i7 1185G7 15 Inch Pixelsense Multi Touch Display Matte Black Surface Laptop #5IM-00001,"187,710","174,000","Monthly EMI Tk 15,643", 1 reviews ,33.03.191.234,16GB,512GB SSD,11th (Intel),Shared,Core i7,15
Asus ZenBook Duo UX482EA Intel Core i7 1165G7 14 Inch FHD Display Celestial Blue Laptop #HY400W-UX482EA,"187,710","174,000","Monthly EMI Tk 15,643", 1 reviews ,33.03.006.1580,16GB,512GB SSD,11th (Intel),Shared,Core i7,14
Apple MacBook Air (Late 2020) Apple M1 Chip 512GB SSD 13.3 Inch Retina Display Space Gray MacBook #Z124000AM,"183,910","170,000","Monthly EMI Tk 15,326", 1 reviews ,33.03.005.235,16GB,512GB SSD,Not Applicable,Shared,Apple M1,13.3
Microsoft Surface Laptop 4 Intel Core i7 1185G7 13.5 Inch Pixelsense Multi Touch Display Platinum Alcantara Surface Laptop #5EB-00035,"187,710","174,000","Monthly EMI Tk 15,643",,33.03.191.323,16GB,512GB SSD,11th (Intel),Shared,Core i7,13.5
MSI Creator M16 A12UC Intel Core i7 12700H 16 Inch QHD Display Lunar Gray Gaming Laptop #A12UC-808BD-BB71270H16GXXDX11EMH,"181,200","168,000","Monthly EMI Tk 15,100",,33.02.033.1228,16GB,512GB SSD,12th (Intel),4GB,Core i7,16
Microsoft Surface Laptop 5 Intel Core i5 1245U 13.5 Inch Pixelsense Multi Touch Display Sage Laptop #R8P-00047,"179,030","166,000","Monthly EMI Tk 14,919",,33.03.191.318,16GB,512GB SSD,12th (Intel),Shared,Core i5,13.5
Microsoft Surface Laptop 5 Intel Core i5 1235U 13.5 Inch Pixelsense Multi Touch Display Platinum Alcantara Surface Laptop #R8N-00001,"179,030","166,000","Monthly EMI Tk 14,919", 12 reviews ,33.03.191.331,16GB,512GB SSD,12th (Intel),Shared,Core i5,13.5
Microsoft Surface Laptop 4 Intel Core i7 1185G7 15 Inch Pixelsense Multi Touch Display Platinum Surface Laptop #5L1-00024,"171,970","159,000","Monthly EMI Tk 14,331", 1 reviews ,33.03.191.227,8GB,512GB SSD,11th (Intel),Shared,Core i7,15
HP Elite Dragon Fly G2 Intel Core i5 1135G7 13.3 Inch FHD Touch Display Blue Laptop #25W55AV-3Y,"173,600","161,000","Monthly EMI Tk 14,467", 1 reviews ,33.03.020.1413,8GB,512GB SSD,11th (Intel),Shared,Core i5,13.3
Asus TUF Gaming F15 FX506HE Intel Core i7 11800H 15.6 Inch FHD WV Display Graphite Black Gaming Laptop #HN309W-FX506HE,"173,600","162,000","Monthly EMI Tk 14,467", 1 reviews ,33.02.006.1597,8GB,512GB SSD,11th (Intel),4GB,Core i7,15.6
Apple MacBook Air (2022) Apple M2 Chip 13.6 Inch Liquid Retina Display Silver MacBook #MLY03LL/A / MLY03ZP/A,"187,710","174,000","Monthly EMI Tk 15,643", 1 reviews ,33.03.005.244,8GB,512GB SSD,Not Applicable,Shared,Apple M2,13.6
Hp Elitebook 830 G8 11th Gen Intel Core i7 1165G7 13.3 Inch FHD Display Silver Laptop #6A3M7AV-3Y,"173,600","162,000","Monthly EMI Tk 14,467", 1 reviews ,33.03.020.1475,16GB,512GB SSD,11th (Intel),Shared,Core i7,13.3
Microsoft Surface Laptop 4 Intel Core i7 1185G7 15 Inch Pixelsense Multi Touch Display Matte Black Surface Laptop #5IF-00001,"171,430","159,000","Monthly EMI Tk 14,286", 1 reviews ,33.03.191.265,16GB,256GB SSD,11th (Intel),Shared,Core i7,15
Apple MacBook Air (Late 2020) Apple M1 Chip 13.3 Inch Retina Display Space Gray MacBook #Z124000AL,"168,720","156,000","Monthly EMI Tk 14,060", 1 reviews ,33.03.005.236,16GB,256GB,Not Applicable,Shared,Apple M1,13.3
Asus ZenBook 14X OLED UX5401EA Intel 1165G7 14 Inch 2.8K OLED WQHD Touch Display Pine Grey Laptop #KN135W-UX5401EA,"167,090","157,000","Monthly EMI Tk 13,924", 1 reviews ,33.03.006.1541,16GB,512GB SSD,11th (Intel),Shared,Core i7,14
Microsoft Surface Pro 8 Intel Core i7 1185G7 13 Inch Multi Touch Display Platinum Laptop #8PV-00001,"167,090","155,000","Monthly EMI Tk 13,924", 1 reviews ,33.03.191.271,16GB,256GB SSD,11th (Intel),Shared,Core i7,13
Asus VivoBook Pro 15 M3500QC AMD Ryzen 7 5800H 15.6 Inch FHD OLED Display Quiet Blue Laptop #L1373W-M3500QC,"160,580","150,000","Monthly EMI Tk 13,382",,33.01.006.1594,16GB,512GB SSD,Not Applicable,4GB,Ryzen 7,15.6
Microsoft Surface Pro 8 Intel Core i5 1135G7 13 Inch Pixelsense Flow Multi Touch Display Platinum 2-in-1 Detachable Laptop (Type Cover is sold separately) #8PU-00001 / EBI-00001,"159,500","148,000","Monthly EMI Tk 13,292", 1 reviews ,33.03.191.316,16GB,256GB SSD,11th (Intel),Shared,Core i5,13
Acer Nitro 5 AN515-46-R3U8 AMD 15.6 Inch QHD Display Obsidian Black Gaming Laptop #NH.QH2SI.005,"160,580","148,000","Monthly EMI Tk 13,382",,33.02.002.972,8GB,1TB SSD,Not Applicable,4GB,Ryzen 5,15.6
Asus VivoBook Pro 15 M3500QC AMD Ryzen 7 5800H 15.6 Inch FHD WV Display Quiet Blue Laptop #KJ374W/KJ434W-M3500QC,"155,160","145,000","Monthly EMI Tk 12,930",,33.01.006.1514,16GB,512GB SSD,Not Applicable,4GB,Ryzen 7,15.6
Asus VivoBook S 16X M5602RA AMD Ryzen 7 6800H 16 Inch Display Sand Grey Laptop #M5602RA-L2027W,"159,500","149,000","Monthly EMI Tk 13,292", 12 reviews ,33.01.006.1640,16GB,512GB SSD,Not Applicable,Shared,Ryzen 7,16
